         506395 function calls (469475 primitive calls) in 384.973 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      979    0.246    0.000    0.246    0.000 {method 'write' of '_io.BufferedWriter' objects}
     2259    0.001    0.000    0.182    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\audio\io\AudioFileClip.py:77(<lambda>)
     2259    0.089    0.000    0.181    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\audio\io\readers.py:156(get_frame)
       58    0.162    0.003    0.162    0.003 {built-in method _winapi.CreateProcess}
       46    0.004    0.000    0.137    0.003 C:\Users\patri\anaconda3\envs\MusicClips\Lib\subprocess.py:807(__init__)
       46    0.001    0.000    0.129    0.003 C:\Users\patri\anaconda3\envs\MusicClips\Lib\subprocess.py:1436(_execute_child)
    10769    0.004    0.000    0.084    0.000 <decorator-gen-32>:1(is_playing)
      2/1    0.000    0.000    0.081    0.081 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\compositing\CompositeVideoClip.py:48(__init__)
       13    0.000    0.000    0.079    0.006 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\VideoClip.py:1002(__init__)
       13    0.000    0.000    0.079    0.006 C:\Users\patri\AppData\Roaming\Python\Python312\site-packages\numpy\lib\_shape_base_impl.py:1197(tile)
       13    0.079    0.006    0.079    0.006 {method 'repeat' of 'numpy.ndarray' objects}
       11    0.000    0.000    0.064    0.006 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\VideoClip.py:566(add_mask)
      459    0.000    0.000    0.059    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\audio\io\ffmpeg_audiowriter.py:71(write_frames)
      254    0.001    0.000    0.058    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\popen_spawn_win32.py:103(wait)
        6    0.000    0.000    0.057    0.009 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\process.py:142(join)
        4    0.007    0.002    0.054    0.014 C:\Users\patri\anaconda3\envs\MusicClips\Lib\json\__init__.py:120(dump)
        4    0.049    0.012    0.049    0.012 {built-in method gc.collect}
        2    0.000    0.000    0.049    0.025 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:305(_repopulate_pool)
        2    0.000    0.000    0.049    0.025 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\pool.py:314(_repopulate_pool_static)
       12    0.000    0.000    0.048    0.004 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\process.py:110(start)
       12    0.000    0.000    0.048    0.004 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\context.py:334(_Popen)
       12    0.000    0.000    0.046    0.004 C:\Users\patri\anaconda3\envs\MusicClips\Lib\multiprocessing\popen_spawn_win32.py:45(__init__)
    17154    0.013    0.000    0.044    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\tools.py:69(cvsecs)
    10769    0.025    0.000    0.043    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\Clip.py:320(is_playing)
        1    0.000    0.000    0.041    0.041 c:\Users\patri\Documents\GitHub\MusicClips\scripter.py:153(split_load)
        1    0.000    0.000    0.041    0.041 c:\Users\patri\Documents\GitHub\MusicClips\scripter.py:195(save_split_files)
    17086    0.009    0.000    0.035    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\json\encoder.py:414(_iterencode)
       11    0.001    0.000    0.033    0.003 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\audio\io\readers.py:67(initialize)
       11    0.000    0.000    0.033    0.003 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\io\ffmpeg_reader.py:76(initialize)
      520    0.004    0.000    0.033    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\video\compositing\CompositeVideoClip.py:116(playing_clips)
    17155    0.026    0.000    0.030    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\site-packages\moviepy\tools.py:60(is_string)
        1    0.001    0.001    0.026    0.026 c:\Users\patri\Documents\GitHub\MusicClips\scripter.py:82(optimize_script)
26348/17086    0.015    0.000    0.025    0.000 C:\Users\patri\anaconda3\envs\MusicClips\Lib\json\encoder.py:278(_iterencode_list)
        1    0.000    0.000    0.023    0.023 c:\Users\patri\Documents\GitHub\MusicClips\scripter.py:145(save_optimized_files)
    16875    0.020    0.000    0.020    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2598    0.016    0.000    0.016    0.000 {built-in method numpy.frombuffer}
    17094    0.008    0.000    0.013    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     7308    0.003    0.000    0.013    0.000 {method 'min' of 'numpy.ndarray' objects}
